scenario,label,active,run_group,n_features,rounding,train_codebook,latent_bpf,scale_latent,entropy_weight
3,int-features,TRUE,0,64,soft,FALSE,8,TRUE,250
3,int-features,TRUE,0,64,soft,FALSE,8,TRUE,100
3,int-features,TRUE,0,64,soft,FALSE,8,TRUE,50
3,int-features,TRUE,0,64,soft,FALSE,8,TRUE,10
3,int-features,TRUE,0,64,soft,FALSE,8,TRUE,1
3,4bpf-features,TRUE,1,64,soft-codebook,FALSE,4,TRUE,250
3,4bpf-features,TRUE,1,64,soft-codebook,FALSE,4,TRUE,100
3,4bpf-features,TRUE,1,64,soft-codebook,FALSE,4,TRUE,50
3,4bpf-features,TRUE,1,64,soft-codebook,FALSE,4,TRUE,10
3,4bpf-features,TRUE,1,64,soft-codebook,FALSE,4,TRUE,1
3,5bpf-features,TRUE,2,64,soft-codebook,FALSE,5,TRUE,250
3,5bpf-features,TRUE,2,64,soft-codebook,FALSE,5,TRUE,100
3,5bpf-features,TRUE,2,64,soft-codebook,FALSE,5,TRUE,50
3,5bpf-features,TRUE,2,64,soft-codebook,FALSE,5,TRUE,10
3,5bpf-features,TRUE,2,64,soft-codebook,FALSE,5,TRUE,1
3,3bpf-features,TRUE,3,64,soft-codebook,FALSE,3,TRUE,250
3,3bpf-features,TRUE,3,64,soft-codebook,FALSE,3,TRUE,100
3,3bpf-features,TRUE,3,64,soft-codebook,FALSE,3,TRUE,50
3,3bpf-features,TRUE,3,64,soft-codebook,FALSE,3,TRUE,10
3,3bpf-features,TRUE,3,64,soft-codebook,FALSE,3,TRUE,1
4,int-features,TRUE,0,32,soft,FALSE,8,TRUE,250
4,int-features,TRUE,0,32,soft,FALSE,8,TRUE,100
4,int-features,TRUE,0,32,soft,FALSE,8,TRUE,50
4,int-features,TRUE,0,32,soft,FALSE,8,TRUE,10
4,int-features,TRUE,0,32,soft,FALSE,8,TRUE,1
4,4bpf-features,TRUE,1,32,soft-codebook,FALSE,4,TRUE,250
4,4bpf-features,TRUE,1,32,soft-codebook,FALSE,4,TRUE,100
4,4bpf-features,TRUE,1,32,soft-codebook,FALSE,4,TRUE,50
4,4bpf-features,TRUE,1,32,soft-codebook,FALSE,4,TRUE,10
4,4bpf-features,TRUE,1,32,soft-codebook,FALSE,4,TRUE,1
4,5bpf-features,TRUE,2,32,soft-codebook,FALSE,5,TRUE,250
4,5bpf-features,TRUE,2,32,soft-codebook,FALSE,5,TRUE,100
4,5bpf-features,TRUE,2,32,soft-codebook,FALSE,5,TRUE,50
4,5bpf-features,TRUE,2,32,soft-codebook,FALSE,5,TRUE,10
4,5bpf-features,TRUE,2,32,soft-codebook,FALSE,5,TRUE,1
4,3bpf-features,TRUE,3,32,soft-codebook,FALSE,3,TRUE,250
4,3bpf-features,TRUE,3,32,soft-codebook,FALSE,3,TRUE,100
4,3bpf-features,TRUE,3,32,soft-codebook,FALSE,3,TRUE,50
4,3bpf-features,TRUE,3,32,soft-codebook,FALSE,3,TRUE,10
4,3bpf-features,TRUE,3,32,soft-codebook,FALSE,3,TRUE,1
5,int-features,TRUE,4,16,soft,FALSE,8,TRUE,250
5,int-features,TRUE,4,16,soft,FALSE,8,TRUE,100
5,int-features,TRUE,4,16,soft,FALSE,8,TRUE,50
5,int-features,TRUE,4,16,soft,FALSE,8,TRUE,10
5,int-features,TRUE,4,16,soft,FALSE,8,TRUE,1
5,4bpf-features,TRUE,5,16,soft-codebook,FALSE,4,TRUE,250
5,4bpf-features,TRUE,5,16,soft-codebook,FALSE,4,TRUE,100
5,4bpf-features,TRUE,5,16,soft-codebook,FALSE,4,TRUE,50
5,4bpf-features,TRUE,5,16,soft-codebook,FALSE,4,TRUE,10
5,4bpf-features,TRUE,5,16,soft-codebook,FALSE,4,TRUE,1
5,5bpf-features,TRUE,5,16,soft-codebook,FALSE,5,TRUE,250
5,5bpf-features,TRUE,5,16,soft-codebook,FALSE,5,TRUE,100
5,5bpf-features,TRUE,5,16,soft-codebook,FALSE,5,TRUE,50
5,5bpf-features,TRUE,6,16,soft-codebook,FALSE,5,TRUE,10
5,5bpf-features,TRUE,6,16,soft-codebook,FALSE,5,TRUE,1
5,3bpf-features,TRUE,6,16,soft-codebook,FALSE,3,TRUE,250
5,3bpf-features,TRUE,6,16,soft-codebook,FALSE,3,TRUE,100
5,3bpf-features,TRUE,6,16,soft-codebook,FALSE,3,TRUE,50
5,3bpf-features,TRUE,6,16,soft-codebook,FALSE,3,TRUE,10
5,3bpf-features,TRUE,6,16,soft-codebook,FALSE,3,TRUE,1
